CASE_ID|CASE_NAME|CASE_NUMBER|CASE_TYPE|CASE_STATUS|CASE_PRIORITY
36BF7662-CBDC-87A7-222D-2683E725AACF|Cameron F. Dickerson|97290|Product|Assigned|P2
C375E6C5-55FE-7982-8B15-88068F5C5B1C|Luke U. Callahan|31167|Administration|New|P2
02727660-D28F-6058-2D6E-9106CDA33316|Amir L. Newton|71873|Product|Rejected|P2
61C16C4A-53F1-2DFE-681C-3BFAACD20259|Uriel Owen|36548|Administration|New|P3
4C6D5891-6BD9-140E-82B7-09663997E40C|Cassady Robbins|10487|Product|Rejected|P1
B202C51C-614C-A5EF-20F1-C22A10453E0A|Miriam Pena|65269|Administration|Rejected|P1
0E8CEA80-F34C-E48E-63EA-7F6F0FDF6283|Patience N. Collins|99708|Product|Pending Input|P3
BDBF374F-E4ED-01BA-234F-D2D5CAE60DD4|Alexis Y. Blackburn|60365|Product|Closed|P3
3FB20E93-C621-9945-5306-379CAF9F90D7|Felix K. Tanner|76312|Administration|Rejected|P1
4A607991-CB78-C950-A125-35F03319C62F|Madison K. Larson|04112|Administration|New|P3
24FE1ECF-9BC5-7BEA-5C3C-D94AE5C1A68E|Meghan O. Young|67367|Product|Rejected|P1
9971FC5C-24A4-D411-C0C7-DA4D68B9EEAE|Whitney Carey|97232|Product|New|P1
5414B16F-E9A6-385C-4821-7AC57FEE7460|Leroy Chapman|72740|Administration|Rejected|P1
5F107AFA-DFDE-3296-78DE-F313FE0CDDC3|Reuben L. Gutierrez|24774|Administration|New|P3
3CA5147F-F690-3238-A12F-85C3D9A4A406|Abraham Ortega|48430|Administration|Pending Input|P2
1A0B89DB-57F9-0906-CEF8-50A3716DFC92|Shay U. Oneill|88393|Product|Closed|P1
7FB1AACA-8577-C88E-474B-4F1540A07107|Damian Z. Gibson|84101|Product|Assigned|P3
A0E2D146-676C-5E72-8957-5377E3FC6E7A|Quin Colon|34823|Product|Closed|P2
BA266F86-3042-6B6D-59C5-2DAB6283137B|Odette G. Jimenez|45766|Product|Closed|P1
B2AD6A04-E864-0BE3-ED90-5DA6EFED874B|Hop Grimes|34922|Product|Rejected|P3
3C3E8FB2-3642-5DA4-B811-BBF2283543B0|Zephr Harris|06132|Administration|Assigned|P3
BF5B4FCA-1987-9600-2537-27295D8C91AD|Cody U. Foreman|67048|Administration|Closed|P1
0F48BCD3-C4E7-1A21-8FE1-68631C8B9610|Quyn Warren|74095|Administration|Assigned|P3
05073F73-02FB-9918-166E-745C18E9B3D3|Hiroko C. Chavez|45216|Product|Pending Input|P2
6B4930A9-EC93-3EDE-75EA-4503225B6270|Vladimir N. Lara|42037|Administration|Pending Input|P3
1FAA229C-54FC-862D-7D0C-B0EFFC6ABD62|Thaddeus F. Estrada|85532|Administration|Closed|P1
C727968B-99B8-46F8-B391-96D66555BBDC|Graiden Graves|81746|Product|Rejected|P3
F88455C2-5106-4C2B-142A-FC0326175DA9|Maryam Q. Snow|57926|Administration|Closed|P2
6088F895-996D-3C22-1F95-0B14FD18CBC5|Keith Z. Williamson|69254|Administration|Closed|P3
CC57CFBD-7800-BE73-2A6C-0512807E72DF|Vanna Rutledge|13102|Product|Assigned|P1
2E40BB0A-840E-5C40-27FF-AA9FECE580F2|Talon Burns|87834|Product|Closed|P1
8278A66F-08A9-528B-C935-A5508F36C7CA|Yardley Daniel|82317|Administration|Pending Input|P2
88954947-E4E1-15F0-336D-8E6F11FC8627|Gisela Mcgowan|80696|Administration|Rejected|P3
EFBB72DB-F446-E7C8-74D1-3D1A8E0F7175|Quynn G. Collins|37777|Product|Closed|P3
71D54B58-80D2-F6DB-9C52-68797CE85045|Micah K. Woods|89761|Administration|New|P2
9000563D-A62A-0AFF-44A2-1ADFA5710145|Adam Lynch|59037|Administration|Pending Input|P3
7CD06FC5-E0E3-1CF0-0FD3-6EEAA6D3D723|Karleigh K. Walter|18050|Administration|Rejected|P2
BE5AD3E8-7DD7-4F67-21A0-501254264FA6|Roary L. Hendrix|34651|Product|New|P3
47CF7073-5FF1-855D-7A45-355DCFE192D9|Hermione J. Ferrell|29142|Product|Assigned|P3
BAF787A0-24CE-F52D-4B53-DCA092F68FCB|Oleg Johnson|46623|Administration|New|P3
EFB2F04A-158D-F8A0-6A95-1C6DA846D9EE|Fitzgerald L. Moses|77628|Product|Closed|P1
3A26B4C9-B014-10B9-53F1-AB6541BE6F3B|Tatiana F. Frederick|64183|Product|Pending Input|P1
E7AAA9E5-24D7-1F8B-6EC1-09EAC04B34BB|Hilda Sharpe|60102|Product|Rejected|P1
B5D1A379-E67C-FD1C-99DE-CDD55802D5EC|Quemby L. Foster|38284|Administration|Pending Input|P2
FC6A890D-3B68-09ED-6B8D-D15B6B4F7B98|Carol Banks|44304|Product|Pending Input|P1
6DCAC831-E7EC-2482-AD79-24C7AAC22D53|Brenden Rice|27750|Product|Pending Input|P3
81D3D214-F5A3-04F5-9E95-655908EAB0B8|Jonas Lee|39561|Product|New|P1
532E01A8-2396-B929-BBDE-755BFDE0FF2B|Skyler Wade|51153|Product|New|P1
9C805763-7E79-E32F-011C-55BEEBA20B43|Iris Chavez|18514|Administration|Rejected|P3
9C20AE04-D3FC-9670-69DA-CCA4900776E5|Jesse Z. Buckner|39597|Administration|Rejected|P2
F471BCDF-8923-10A8-ECBF-C66108501826|Cheryl Walker|77787|Administration|New|P1
9181F52B-5A3D-44E5-1952-452DE5406CED|Lewis S. Bentley|49928|Product|Rejected|P3
30CBCC95-D15B-CF7D-EE6E-B39FE7296007|Britanney Schmidt|23875|Product|Assigned|P2
17272636-3607-216E-3E90-D69CBA3C96CC|Cynthia Daniels|38523|Administration|Pending Input|P2
1F3DB355-3CA7-F4AE-4CE7-B7004493EDAB|Keefe Vazquez|26021|Product|Closed|P3
4B122FBC-1A70-EA20-F3F9-68BFF1847C14|Briar D. Rivera|21469|Product|Assigned|P1
F2AE8405-C97B-8426-93E3-C55075DD446C|Kevyn Olsen|24811|Administration|New|P2
B8D150D6-012E-3859-FAD8-4547C820806E|Leroy Bird|08376|Administration|New|P1
1A2CDC87-9346-15A5-C165-33B98FE9BD0D|Morgan Hubbard|84256|Product|New|P1
554A8EE5-75D3-FE4D-9862-9D5F950FA687|Jane Odonnell|52604|Administration|Pending Input|P2
A908BCC0-DA68-5744-6321-309BD6ED7B9D|Bethany T. Velez|93350|Administration|Pending Input|P2
BFA1E165-DCF2-7749-177A-308D64940DF7|Whitney Morse|52720|Product|Rejected|P1
A5F06046-5E29-44B7-1673-2062EBB04078|Pascale Byers|92832|Product|Rejected|P3
5F5CC301-F886-C8F9-81EC-F98B7C5ACF82|Daphne Burt|58415|Administration|Closed|P3
6983BD85-512B-CE4B-359E-D510C570921F|Meredith West|44231|Administration|Pending Input|P2
D2E3E5E1-F681-2767-73A6-D7652E4C1B52|Brielle J. Hurley|70989|Administration|Closed|P1
211260CA-258F-3A72-B960-CC100FD9E9A5|Skyler N. Norris|42418|Product|New|P3
81C54903-3D80-259E-7501-CF8B1CD71B37|Bethany Mullen|82112|Administration|Assigned|P3
25091B6E-73DE-E18E-5001-F19B16CA1E98|Chester Joyce|78219|Product|Rejected|P2
30A154EA-6EA9-A543-97A5-70309ECADC9D|Luke V. Wells|41501|Product|Rejected|P2
FAD2ACB0-3CDF-72E5-737E-30A0A4F8D0A4|Idola M. Gomez|01637|Administration|Closed|P1
7A7B4B64-8577-10E8-1E29-43CC533739CD|Hakeem Whitley|36358|Administration|Rejected|P3
68012D67-873F-D97D-33D9-FFC38D5D9A70|Connor T. Solis|47992|Administration|New|P1
D0F4ABA3-EAAF-AFF8-7868-8F8479A4BC99|Fleur Mcintyre|20180|Administration|Pending Input|P1
437A573A-06F5-F119-2FBD-74F62BBA00A0|Burke L. Shaw|26664|Product|Assigned|P3
BADE3301-6DAB-913E-7B27-F4B9C4261081|Scarlett Harrison|84926|Product|New|P3
