CASE_ID|CASE_NAME|CASE_NUMBER|CASE_TYPE|CASE_STATUS|CASE_PRIORITY
22FB8576-5756-757C-978D-44448EC7AABC|Kay Marks|48019|Product|Assigned|P1
0F276BB8-66BC-46E9-7F82-EA196A45F1EB|Kiona Mccullough|17071|Administration|Closed|P3
B71F3C76-EC7C-3D86-1BA7-88BB4330DBA1|Oscar Bryant|34790|Administration|Assigned|P1
A00DD4D5-C9E0-3226-D2F3-7AEA196884BF|Jordan E. Jordan|71768|Administration|Rejected|P3
3F844F97-4AD3-D1A4-9C7C-F543643B600A|Nevada Gould|55246|Administration|Assigned|P2
6F97E32E-C18C-8A68-FA33-87463E98C272|Joseph E. Lancaster|54368|Product|New|P2
17320244-4F02-8200-1D0E-D2A613A0725A|Shelly Case|42683|Product|New|P2
42D9FE4A-F72F-3F87-9547-39396E4A5870|Noelle M. Hull|66540|Product|Assigned|P3
25917186-4647-93DD-AA4E-550D155B8A8A|Scarlett Valenzuela|19273|Administration|Pending Input|P3
307464A4-1297-1C93-4E18-20C6EB87E79E|Vernon Levine|41679|Administration|Pending Input|P3
ADC25D82-4C87-D0DB-9692-971F740FB00F|Jennifer Holmes|57601|Product|Closed|P1
64A821A7-188B-7242-E33F-B4ED20A883B2|Pascale T. Robinson|95967|Product|Assigned|P1
DB1206F4-FE71-A6DA-F9DD-E6A33923A74C|Zane J. Battle|59039|Product|Assigned|P1
DCBB5ECD-A11F-FABE-A8C5-E002A541BC1E|Colin T. Ramsey|32183|Administration|Assigned|P1
DEC521DA-9CE0-2CBF-C6E7-73444E5FDB9D|Cynthia M. Hardy|05525|Product|Pending Input|P3
D64072CB-8DA1-9596-F373-20CEF046A029|Chiquita Ball|23512|Administration|Closed|P1
639AEACA-D990-0369-359F-8928F4458700|Xantha Mckenzie|51042|Product|Rejected|P3
2A523DC0-C49B-4603-A4E2-2425D366BD2F|Adena E. Rowe|90589|Administration|Assigned|P3
94F9158B-10D4-05F5-BFEA-4A99EB3512B4|Yvette Parrish|23618|Administration|Assigned|P1
392AC6B3-0C25-59AC-0B27-14C473C5976E|Evelyn E. Wilson|39331|Product|Rejected|P3
91BFD84C-61EF-9BA1-9029-3C669F6C7063|Rose C. Fisher|05204|Administration|Assigned|P3
E225526D-4FA2-3751-29D9-8CEBBB1B1D9C|Jaquelyn K. Carr|97193|Administration|New|P1
22C1229A-7A4F-A74E-A248-B35428D03521|Lysandra D. Middleton|65194|Product|Closed|P2
B0493869-79CA-2CD9-DBE4-6894B71BF795|Conan Miller|79686|Administration|Assigned|P3
730E06AE-C40E-CB29-CA17-0FACA05C6E7D|Dominique Williamson|81965|Administration|Rejected|P3
6E51417F-AF3C-019D-11CC-9F6EE732D529|Emmanuel Jacobs|16889|Product|Pending Input|P2
3834B48F-F293-767F-2500-95E729B945AD|Aline M. Weber|45281|Administration|Rejected|P2
54BC1AA4-E11E-8608-EC7C-ABE23FA5E819|Camille Glover|15104|Product|Rejected|P3
A8482F7C-D44E-179F-AC9D-13A437FDE043|Myles Goodwin|42441|Product|Closed|P3
290FBDED-561F-5628-3FAF-EFE3FBB850FB|Walter M. Savage|15208|Administration|Rejected|P2
51769847-1F52-D8AA-1E33-17AECF008D83|Blair U. Hicks|64770|Administration|Pending Input|P3
476C10B3-8B0B-8681-A0AC-30D4348CA600|Leila Michael|56831|Administration|Closed|P3
35A80B9F-3DAB-E1FB-5069-FE3329F05A35|Tana Neal|52766|Product|New|P2
5FE4E28B-1E8E-C479-4353-95BCBE0CF324|Herrod Keith|60457|Product|New|P3
767396A8-4D07-04F1-EB1E-7ACE020A63D7|Patience Hampton|17958|Administration|Rejected|P3
4FFFC220-AB3C-F4CB-EA9C-2BE0C48E189D|Keaton K. Castillo|77797|Product|New|P2
69128980-C356-B412-7520-41738B0C7465|Meredith Golden|15901|Administration|Pending Input|P1
613DB2DF-910D-90F0-271F-77C4E9FA38AD|Allen T. Vaughn|73978|Product|Assigned|P3
6B081591-006C-E96E-F929-CC11F61696AD|Aspen Cohen|60694|Administration|Pending Input|P1
424AB504-DFDB-7C83-A647-94B9BF11D4A4|Jakeem T. Castillo|33035|Administration|Closed|P1
BA884198-F9E8-FB6F-19AC-EDE37B056F00|Georgia Middleton|66033|Product|Rejected|P3
A81741B7-CC34-046F-DC26-94331EF0D3B4|Hoyt Calhoun|33641|Product|Pending Input|P2
A652BC87-F1CC-9E13-745F-7CC51C015F3E|Aidan K. Chen|63834|Product|Closed|P1
622A9726-BD43-528D-3E05-1ABBF6B72421|Jamal N. Medina|08259|Product|Pending Input|P1
7E93F80E-3586-3AA2-A49B-2E80332AFC9B|Blair R. Dalton|88622|Product|Rejected|P3
B7923BD7-3B5F-B6BE-C635-E805F6A23325|Flynn Burton|60901|Administration|Assigned|P2
452498BE-50A3-6145-023B-7EE51BD80B4F|Geoffrey Hinton|69696|Administration|Closed|P1
7D9766F1-8195-6821-0A45-8448D0D09CC9|Amanda O. Coleman|42235|Product|Closed|P1
B982D56D-063F-6747-EF7B-6618820A470F|Sawyer Bishop|18131|Product|Pending Input|P2
73BBF01C-0414-1D81-63D2-9D86DD02B3DA|Kyla U. Valenzuela|31254|Administration|Rejected|P3
AEA900DC-C6BE-8B13-57AD-48EF61DECFF4|Indira R. Newton|92693|Administration|Rejected|P3
C494FA47-57C0-F19E-A99D-14321B3F7825|Patience Miles|32414|Administration|Closed|P3
63878717-4266-BF50-285E-8AA2ADA42F08|Libby B. Carroll|40335|Product|Pending Input|P1
F7F0B2D0-268D-367C-305E-98C5D59EF18F|Tarik Norman|22054|Product|Assigned|P2
C9D44F79-08BF-C825-A799-779F12B7FC94|Aurelia K. Conrad|57616|Product|Assigned|P2
18CC80FA-50CF-2B02-08AA-19492BDAC1B8|Rafael Wiggins|59605|Administration|Closed|P2
A9344134-1A77-77CE-37B1-F4EC1E61E522|Casey Z. Russo|66942|Administration|New|P2
54CFA129-98C3-F80F-B3BD-3D2EB737B1A3|Desiree E. Nichols|87739|Product|New|P2
CFB4F86A-743A-7525-C808-4C90DA695B08|Keegan G. Young|65635|Administration|Pending Input|P1
09B1DD6B-A965-1464-171D-194B6DF8049A|Drake Alvarez|66342|Administration|New|P1
0ED819EC-EF00-43ED-4095-BDA9F1133B5D|August J. Rios|49283|Administration|Closed|P1
8ECC1148-3D1E-5DE0-37DC-C63540EAAC59|Kelsie Atkins|32442|Administration|Pending Input|P1
AAA69315-85EE-D4A6-4826-24523E07E5B3|Astra R. Zimmerman|50307|Product|New|P2
7B8D9FFB-9D47-DAB8-6635-28D4A0E2E896|Giselle L. Whitehead|75380|Product|Pending Input|P1
C3A69F46-EF09-5D56-2C31-19183C82662D|Kevyn S. Kemp|30540|Product|Assigned|P3
33AE1B00-7521-903E-AACF-5ACEED0523E5|Yardley Elliott|19625|Product|Assigned|P1
842131A5-7D88-2B5E-0143-80508ECB15B0|Asher Baxter|92564|Administration|New|P3
CB122652-68A6-529D-D522-A1CA620DDD81|Brenna P. Lott|05717|Administration|Pending Input|P1
3FD30D1E-345B-8F26-974D-E5CD9719694B|Hedda X. Hernandez|87863|Administration|Closed|P2
D79C67B3-0FA1-2158-D8E2-82DBBB96AD46|Randall F. Ayers|47591|Administration|Closed|P1
5338C962-15E1-37E7-D72A-F310AD996B82|Audrey N. Heath|69753|Product|Closed|P2
806D9365-FB6A-166A-37AF-C0AB868D096F|Acton Brennan|18837|Product|Assigned|P1
B5A5BBDA-8D39-D485-96EF-A7EC88960C5F|Ivan V. Blanchard|80662|Product|New|P2
0EA4F76D-EB73-8FD9-1220-649E40064C1C|Eliana Q. Noble|88460|Product|Pending Input|P3
50E5B80D-89C6-3B86-5566-7565F2466D67|Drew E. Leon|46811|Administration|Assigned|P3
D342C168-43F2-49B1-286D-921896244374|Stacy Kane|99579|Product|Rejected|P1
7123AFEF-B634-9046-7E37-455A42086493|Chaim Mayo|91046|Product|Pending Input|P2
17F10400-B546-246F-9C2F-F75E90CE549A|Jade Greer|20538|Product|New|P2
25DB3816-EEB5-A0FA-C80F-22627C147D26|Aidan Lester|33293|Administration|Pending Input|P2
D3D832FC-EF12-D300-F703-8B245DBDC9D8|Chastity Buchanan|84480|Product|Closed|P1
01B99B68-691C-208B-B43B-DCC8B64C2AEE|Alfreda X. Pate|09084|Product|New|P2
B97E7B21-31BD-04A0-5502-43EBEFA05BF9|Lynn J. Nielsen|73368|Product|Assigned|P3
1635138D-2259-FF4E-6293-94FA762F25A5|Vanna Flores|09235|Product|Assigned|P3
36A5CD87-D6D7-93E1-651B-43B4BBF0D436|Veda U. Hutchinson|96826|Product|Assigned|P2
6EC4A415-F635-E063-AD60-224FC6BDE5DA|Gregory U. Acosta|87664|Product|Closed|P1
2AC4D46C-B517-CE6B-624A-08B20A16CF14|Uriah G. Ayers|71476|Product|Rejected|P3
847FCC0E-BFFF-6200-AFD7-735574F44DDC|Flynn I. Lynch|60871|Administration|Pending Input|P3
480D3693-139B-7C8B-7D37-125D77ABC235|Jasmine Spencer|15183|Product|Pending Input|P2
A32F6F7A-0A9B-4B2C-A968-ED29C57AE9AC|Odysseus G. Maynard|90592|Product|Assigned|P1
3AD73651-A55B-DD73-6EA4-AEBDC89348D3|Ivana Bell|33081|Administration|New|P1
D93AB3CB-4452-7FD7-94DE-35F81B1A6989|Cailin Parrish|94974|Product|Closed|P2
C4D30518-4657-59EB-CADA-81D41271C4F2|Risa Wyatt|26394|Administration|Assigned|P2
B00E91E9-1D47-867B-FA78-4BAFE4A99C9A|Lareina Pickett|34179|Product|Assigned|P1
FFF3340B-9783-F807-7E48-D73C7DD52650|Xaviera Q. Estes|09147|Administration|New|P2
43570FD1-7D43-2460-731A-D23528BCA124|Jacqueline Aguilar|67401|Administration|New|P3
529936A3-9D37-AD92-60EA-C8CF7B093892|Stuart Floyd|61421|Administration|Pending Input|P1
18E97492-CDA0-BC1F-ED18-43C31F1A1CEB|Ruth L. Shields|69387|Administration|Pending Input|P1
F8138306-787B-51DB-AC04-BE1FD66BC4E5|Jane F. Clay|87239|Administration|Closed|P3
CB1B606A-62C6-8F24-5375-4A77671A6709|Sydnee Grimes|60180|Product|Assigned|P1
FCA6F4F7-4474-447F-35D3-D99D2D029D28|Erica V. Ochoa|33655|Product|Assigned|P1
