CASE_ID|CASE_NAME|CASE_NUMBER|CASE_TYPE|CASE_STATUS|CASE_PRIORITY
E9BC31B2-A4C9-30EF-476D-0C5EF2C867F2|Ursa F. King|82877|Product|Closed|P1
FB57D03D-CFC4-8CD8-B24C-DDFDBA596159|Upton Y. Villarreal|80798|Product|Rejected|P1
21D758FD-E341-AC2D-2E3F-13C2558BA03E|Debra X. Ryan|17454|Administration|New|P2
357714E2-D4AE-FADA-9796-FA3D79543581|Fritz G. Henry|28243|Administration|Pending Input|P3
6E07CD0F-5711-B7C5-D46F-EF44ADABC348|Angelica Fitzgerald|12966|Product|Pending Input|P2
F6A5BDDA-B6BE-D625-6839-F45C406AB378|Lars Sharp|13539|Product|New|P3
6076F138-E5C0-EC8C-E776-D8F4A7161AF7|Chloe Gill|86351|Administration|Rejected|P2
B4A085C5-210C-8EF6-ACEA-8B7C460CC79D|Ifeoma Camacho|66636|Administration|New|P1
57DDE4D4-C7B7-C0C8-6055-ED4D288382E0|Yoshi Goodwin|16091|Product|Rejected|P3
65387DA8-219F-137F-BE54-CE37D597F2F6|Paloma Frazier|56922|Product|Rejected|P3
99005313-F33C-86BA-1251-E0B4B1F68151|John B. Macias|01832|Product|Assigned|P3
3EE34B5F-08B8-12C9-2128-2C3CBC14D740|Wanda A. Love|44077|Administration|New|P3
E1EFD7DF-B30A-F257-177A-BF8F3CF7B91F|Hoyt Byrd|23724|Product|Pending Input|P1
EA91840D-4088-5714-4B36-D369C6AF392C|Thor Frye|75568|Administration|Assigned|P3
B81DC0E8-AFFF-5E3D-0B66-A12CD1F2BA45|Colt Colon|91537|Administration|Closed|P3
4506D682-3B28-E479-2819-74F810A99869|Josiah E. Mcintosh|63747|Product|New|P3
7E186D97-413D-2238-2269-8646171F6B68|Nash Waters|22028|Product|Rejected|P3
FAA0811B-5C17-9DB5-F40A-508D0B91C960|Hashim X. Mccray|04376|Administration|Closed|P3
76E22045-5C77-172B-C0EA-1A9065D8FBD5|Akeem Vargas|68479|Product|Pending Input|P3
AF48B64F-2BA7-DAF3-0F22-A472858BB136|Nathan Mitchell|16865|Administration|Rejected|P3
557442FC-2EAC-408A-6827-8142DC095433|Sybil O. Mcguire|95287|Product|Closed|P2
058BC4D6-15B2-6863-E1D8-3820AE723EED|Amaya F. Carver|51678|Product|New|P2
F0E56F2E-4788-246F-8BA7-4B1B5D243F60|John I. Rodgers|55954|Product|New|P1
0E1E2B62-326C-3263-5B0F-E161C238B7C7|Pamela L. Maddox|83484|Administration|Closed|P1
A7788561-C805-E60A-9CEE-D0246808FE0C|Victoria O. Mcdaniel|99941|Product|Pending Input|P3
70107845-DF3E-1DC5-633E-0D455D634229|Kadeem V. Miller|48366|Product|Pending Input|P1
E7F56E75-FBF9-BBEA-442F-32231A008C9D|Hollee I. Cleveland|84235|Product|Closed|P3
23541C26-B212-7080-65F8-951A3BBA215E|Nigel Mcintosh|28125|Administration|Closed|P3
5EDF3296-6376-64D6-D7B9-581A1F729B9E|Nehru Santiago|10189|Product|Closed|P3
5ED316B1-CFDC-AC8C-77A4-24FAD98351D4|Ora Huff|08381|Product|Assigned|P1
96E105C5-C081-F367-5CE9-98DF57516732|Porter White|51071|Administration|Assigned|P1
ED749E0B-6312-4962-1C58-423A6A2C358B|Megan F. Puckett|05743|Administration|Pending Input|P2
D2EE960A-B559-B7C5-15C0-43D9E81C2B33|Joseph A. Roberson|18875|Product|Pending Input|P2
27B899CE-A1D7-C38E-CEFE-68292DBE0EF3|Audrey Hebert|45242|Administration|Rejected|P2
58DD0752-A8F7-6717-A4B4-B1377C7281F7|Jolie Craft|03244|Product|Assigned|P2
9EC8BD02-1280-1E10-606C-E6E9F9F37C55|Noelani Holder|20954|Product|Assigned|P3
C327C3FF-4BD0-3CFA-94A1-B02721C6D75F|Brianna Moody|89388|Administration|Pending Input|P1
15ACB582-9AC1-0F36-153F-471DB5CB604D|Deborah D. Rogers|73164|Administration|Closed|P1
7A3C478D-CC30-8C6C-A1F5-4804F9781519|Nina C. Pugh|63739|Administration|Closed|P2
532EDF3E-5E00-0095-A186-BDC0A9103981|Amaya J. Stafford|40642|Administration|Closed|P1
5F2C3592-3D1F-3A59-C7AC-00F74E9E65C2|Alma Flores|38279|Product|Closed|P2
52174782-A03B-13A0-FC25-248F6A157FAF|Audra Z. Vega|26379|Administration|Pending Input|P1
3926870C-AB0B-6AA2-FB37-F9B2E5DD46D3|Hannah F. Simpson|09149|Administration|New|P3
