LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Ms.,Partner,In Process,,,Fitzgerald Schmidt,5318 VB,"P.O. Box 731, 803 Duis Ave",399
Mrs.,Public Relations,Recycled,,,Imogene Norman,4584,"3627 Vulputate, Street",201
Mrs.,Word of mouth,Dead,,,Kane Hanson,17252,"P.O. Box 944, 190 Id Av.",420
Mrs.,Word of mouth,In Process,,,Laura Meadows,75620,"P.O. Box 787, 709 Duis Ave",85
Mr.,Cold Call,In Process,,,Kane Burke,RO2 9NN,"121-2176 Magna, Road",37
Mr.,Partner,In Process,,,Summer Bright,83-280,"P.O. Box 763, 6318 Vivamus St.",3
Mr.,Existing Customer,Assigned,,,Rebecca Harrington,41817,4607 Egestas Road,122
Ms.,Web Site,Recycled,,,Lisandra Blackburn,72-269,Ap #542-7630 Aenean St.,157
Mrs.,Employee,Recycled,,,Deborah Webb,381845,406 Duis Street,140
Mr.,Email,Assigned,,,Regina Tyler,98590,481-8146 Morbi Rd.,485
Ms.,Email,Assigned,,,Jordan Mitchell,393793,7455 Curabitur Rd.,325
Mrs.,Existing Customer,Recycled,,,Thor Klein,99706,393-6674 Id St.,435
Ms.,Public Relations,Dead,,,Nora Bryant,552479,"311-7016 Vel, Street",20
Ms.,Web Site,Assigned,,,Nissim Petersen,JO7 3JT,Ap #688-7375 Nec Rd.,285
Ms.,Partner,Recycled,,,Dante Cross,7065,954-4171 Sapien. Av.,238
Mr.,Web Site,Recycled,,,Leandra Ford,199840,Ap #645-2046 Egestas St.,181
Ms.,Public Relations,Assigned,,,Aileen Blake,5770,Ap #734-6882 Mauris Street,53
Mr.,Campaign,Recycled,,,Hiroko Clayton,55823,9052 Arcu. Ave,481
Ms.,Cold Call,Recycled,,,Bernard Whitaker,21337,6405 Egestas. Rd.,181
Ms.,Word of mouth,Assigned,,,Dorian Maynard,132184,Ap #898-7227 Urna. Rd.,459
Ms.,Public Relations,Assigned,,,Georgia Wise,999776,Ap #659-2617 Vehicula Rd.,103
Mr.,Email,Assigned,,,Yoshio Santana,11117,"P.O. Box 135, 2553 Facilisis, St.",98
Mrs.,Self Generated,In Process,,,Hiram Parker,X5G 7J6,4376 Proin St.,249
Mrs.,Word of mouth,Recycled,,,Neil Joseph,624813,Ap #427-9255 A Road,60
Ms.,Employee,Dead,,,Jolene Terrell,883093,505-9620 Eu Ave,199
Mrs.,Direct Mail,In Process,,,Xaviera Rush,75216-655,Ap #864-9766 Ac Ave,60
Ms.,Campaign,Recycled,,,Magee Heath,45604-328,1613 Augue Street,48
Mr.,Conference,Assigned,,,Quemby Campbell,071641,827 In Av.,84
Ms.,Email,Dead,,,Adara Hurley,556397,737-7549 Eget St.,246
Ms.,Web Site,Dead,,,Riley Pearson,Z8837,Ap #945-7687 Ipsum Street,196
Mrs.,Other,Assigned,,,Astra Hernandez,19368,Ap #829-7884 Sed Av.,429
Mrs.,Word of mouth,Assigned,,,Fatima Shaw,494839,"P.O. Box 478, 8345 Euismod St.",508
Mrs.,Trade Show,Recycled,,,Xenos Sykes,079049,385-1394 In Road,420
Ms.,Other,Recycled,,,Isaac Valdez,7994,"P.O. Box 476, 7261 Blandit Rd.",56
