LEAD_TITLE,LEAD_SOURCE,LEAD_STATUS,LEAD_ACCOUNT_NAME,LEAD_OPPORTUNITY_NAME,LEAD_FULL_NAME,LEAD_PRIMARY_ADDRESS_POSTCODE,LEAD_PRIMARY_ADDRESS_STREET,STATE_ID
Mrs.,Word of mouth,Assigned,",",",",Maile Guy,62527,"P.O. Box 281, 8516 Cursus Rd.",32
Mrs.,Email,In Process,",",",",Andrew Whitfield,K2J 3J8,1415 Enim St.,502
Ms.,Word of mouth,Dead,",",",",Chaney Morrison,815864,"408 A, Av.",495
Mrs.,Direct Mail,Dead,",",",",Daryl Riley,469216,"P.O. Box 560, 6100 Nunc Avenue",293
Mr.,Email,Assigned,",",",",Kareem Chang,83201,Ap #672-2624 Cras St.,97
Mrs.,Trade Show,In Process,",",",",Patrick Jarvis,85998,Ap #837-631 Aliquam Street,43
Ms.,Campaign,Recycled,",",",",Seth Conway,175099,"P.O. Box 642, 2463 Eget Avenue",515
Mr.,Direct Mail,In Process,",",",",Zane Russell,55669,"P.O. Box 301, 2390 Mauris Street",118
Mr.,Public Relations,In Process,",",",",Edan Dickson,67540,7640 Eu St.,440
Ms.,Employee,Recycled,",",",",Scarlet Workman,8439,"648-2823 Placerat, St.",348
Ms.,Web Site,Recycled,",",",",Chava Hunter,49762-23802,400 Interdum. Av.,492
Mr.,Existing Customer,Assigned,",",",",Shelly Olson,75768,"P.O. Box 416, 3890 Suspendisse Av.",79
Mrs.,Employee,Dead,",",",",Jolie Sullivan,50871,Ap #854-9758 Nibh. Ave,130
Ms.,Trade Show,In Process,",",",",Lev Eaton,44609-61024,895-1659 Arcu. Ave,158
Ms.,Direct Mail,In Process,",",",",Leonard Conley,71309,"P.O. Box 282, 8604 Libero Road",263
Mrs.,Public Relations,In Process,",",",",Honorato Massey,2264,"843 Sem, Rd.",230
Mrs.,Partner,Assigned,",",",",Davis Velazquez,G3W 2A1,"P.O. Box 666, 7800 Pede, Av.",306
Mrs.,Trade Show,Dead,",",",",Fulton Fry,5428,Ap #915-1094 Porta Road,185
Ms.,Existing Customer,Dead,",",",",Allistair Shepherd,77067,901-4828 Fusce Ave,479
Mr.,Employee,Assigned,",",",",Solomon Townsend,71419,Ap #362-1921 Tortor Rd.,409
Mr.,Campaign,Assigned,",",",",Zachery Head,23715,476-4909 Diam St.,188
Mr.,Existing Customer,Assigned,",",",",Kellie Patrick,03337-754,6875 In Rd.,144
Ms.,Campaign,Recycled,",",",",Walker Hale,5965,131-9159 Accumsan St.,30
Mr.,Web Site,Recycled,",",",",Rahim Dudley,28913,"Ap #415-5094 Non, Rd.",170
Mr.,Web Site,Recycled,",",",",Grace Leach,Z3503,499-3647 Mattis Ave,235
Ms.,Web Site,Assigned,",",",",Kevyn Armstrong,2409,Ap #249-1091 Aliquam St.,509
Mr.,Self Generated,Assigned,",",",",Otto Bates,31483-815,Ap #340-2448 Mattis. Street,517
Mrs.,Cold Call,Recycled,",",",",Robert Kaufman,465379,Ap #415-8469 Magna Av.,146
Ms.,Public Relations,Assigned,",",",",Ulla Wells,24173-40259,159 Bibendum Rd.,516
Mrs.,Cold Call,Dead,",",",",Seth Kramer,706312,526-1620 Fermentum Rd.,87
Mr.,Web Site,Recycled,",",",",Leigh Gillespie,139602,"472-344 Tempor, Road",319
Mr.,Web Site,Dead,",",",",Brock Shelton,41460,3092 Libero Rd.,297
Mrs.,Email,In Process,",",",",Helen Craft,16613,Ap #696-3668 Sed Rd.,56
Ms.,Public Relations,Recycled,",",",",Aidan King,2007,Ap #524-558 Neque St.,437
Mr.,Other,In Process,",",",",Mariam Pate,222901,Ap #104-3951 Urna Avenue,73
